Year,Ross WAIS,Withrow,Sulzberger,Nickerson,Getz,Dotson,Crosson,Thwaites,Pine Island,Cosgrove,Abbot,Venable,Stange,Bach,Wilkins,George VI,Larsen B,Larsen C,Larsen D,Ronne,Filchner,Brunt,Riiser,Fimbul,Lazarev,Baudouin,Prince Harald,Amery,West,Shackleton,Totten,Moscow,Holmes,Dibble,Mertz,Cook,Rennick,Mariner,Drygalski,Ross EAIS,Ross,Amundsen,Bellingshausen,Larsen,Filchner-Ronne,Queen Maud,Wilkes,West Antarctica,East Antarctica,All Antarctica
1994.038,0.169,2.581,-0.229,-0.261,1.362,3.128,3.569,3.463,1.790,0.014,0.124,2.407,1.062,1.114,0.950,1.176,-0.179,0.627,0.118,-0.069,-0.113,-0.610,0.072,-0.423,0.111,-0.114,-0.296,-0.210,0.330,-0.166,-1.605,-2.663,-2.944,1.457,-0.351,-1.581,0.075,-0.714,0.516,0.047,0.177,2.136,0.924,0.452,-0.082,-0.169,-0.280,0.272,-0.091,0.144
1994.285,0.169,2.397,-0.144,-0.131,1.158,2.146,2.854,3.400,1.712,-0.006,0.222,2.753,1.085,1.163,0.741,1.007,0.374,0.501,-0.073,-0.157,-0.212,-0.689,-0.179,-0.309,-0.040,0.123,0.081,-0.321,0.236,0.175,-0.896,-0.910,-2.169,1.457,-0.352,0.124,0.242,-0.800,0.195,-0.081,0.107,1.524,0.762,0.317,-0.170,-0.166,-0.074,0.193,-0.158,0.050
1994.534,0.169,1.270,-0.172,-0.173,1.228,2.198,2.223,3.259,1.159,0.039,0.202,2.485,0.891,0.669,0.684,1.130,0.733,0.611,0.016,-0.112,-0.179,-0.298,-0.176,-0.247,0.232,0.180,0.055,-0.190,0.480,-0.232,-2.052,-2.928,0.748,1.457,-0.339,0.264,0.393,-0.886,1.317,-0.079,0.096,1.557,0.744,0.426,-0.129,-0.082,-0.199,0.211,-0.115,0.077
1994.786,0.169,3.275,-0.246,-0.438,0.895,2.033,2.548,3.020,1.582,0.097,-0.034,2.278,0.580,0.807,0.624,0.907,0.516,0.299,-0.032,-0.164,-0.198,-0.338,-0.288,-0.336,0.086,0.046,-0.470,-0.225,0.108,0.173,-1.486,-1.742,2.291,1.457,-0.325,-0.832,-0.044,-0.866,0.958,-0.091,0.043,1.287,0.522,0.201,-0.173,-0.183,-0.180,0.109,-0.159,-0.000
1995.038,0.184,0.919,0.063,-0.011,1.401,2.530,3.597,3.676,1.885,0.268,0.398,3.195,0.785,0.969,0.822,1.047,0.020,0.698,0.416,-0.162,-0.209,-0.503,-0.105,-0.354,-0.017,-0.110,-0.229,-0.233,0.091,0.040,-0.873,-4.511,0.857,2.125,-0.354,-0.457,0.162,-0.840,1.468,-0.060,0.078,1.806,0.824,0.595,-0.174,-0.190,-0.193,0.211,-0.149,0.065
1995.285,0.201,1.816,0.050,-0.181,1.166,1.973,2.426,2.957,1.938,0.309,0.208,1.979,0.709,0.552,0.393,0.770,0.073,0.327,-0.026,-0.122,-0.135,-0.391,-0.111,-0.199,0.022,-0.078,-0.191,-0.374,0.193,-0.051,-1.433,-2.958,0.343,2.793,0.274,0.082,0.193,-0.321,1.627,-0.044,0.092,1.502,0.565,0.211,-0.127,-0.130,-0.191,0.160,-0.128,0.042
1995.534,0.139,1.206,0.203,0.165,0.792,1.898,1.662,2.777,1.131,-0.269,0.016,1.798,0.794,0.662,0.414,0.606,0.345,0.232,0.049,-0.159,-0.122,-0.353,-0.129,-0.287,0.007,-0.154,0.154,-0.313,0.193,0.114,-2.007,-1.434,0.699,0.946,0.047,-0.178,0.235,-0.618,0.866,-0.099,0.038,1.131,0.405,0.171,-0.149,-0.189,-0.105,0.087,-0.156,-0.013
1995.786,0.217,2.129,0.250,0.137,1.074,1.703,1.416,2.764,1.527,-0.019,-0.029,1.988,0.185,0.878,0.707,0.788,0.594,0.214,-0.023,-0.143,-0.142,-0.518,-0.334,-0.294,-0.139,-0.193,-0.844,-0.230,0.100,0.202,-1.956,-0.217,0.705,0.760,0.025,0.250,0.000,-0.460,1.045,0.005,0.126,1.310,0.445,0.156,-0.145,-0.320,0.039,0.133,-0.158,0.013
1996.038,0.113,1.892,-0.015,-0.003,1.200,2.499,2.321,2.908,1.383,0.713,0.254,2.018,0.464,0.861,0.411,0.714,0.444,0.533,0.191,-0.116,-0.224,-0.445,-0.083,-0.190,-0.088,-0.187,-0.008,-0.137,0.292,0.203,-1.132,-0.284,3.637,0.420,-0.431,-0.698,-0.107,0.197,1.523,-0.114,0.013,1.528,0.513,0.425,-0.141,-0.124,0.100,0.154,-0.126,0.038
1996.287,0.115,1.382,0.067,0.149,1.196,2.233,1.717,3.134,1.578,0.209,0.259,2.155,0.416,0.566,0.101,0.368,-0.174,0.276,-0.005,-0.181,-0.119,-0.294,0.068,0.039,0.122,0.047,-0.319,-0.215,0.227,0.336,-0.910,0.595,0.429,0.374,0.375,-0.521,0.275,0.369,0.316,-0.083,0.028,1.476,0.351,0.179,-0.168,0.048,0.243,0.088,-0.037,0.038
1996.536,0.163,1.337,0.107,0.082,0.967,2.164,2.098,3.539,2.283,0.213,0.056,2.577,0.303,0.885,0.213,0.407,0.309,0.180,-0.009,-0.146,-0.087,-0.348,0.024,0.070,0.223,-0.043,-0.290,-0.178,0.398,0.454,0.824,-0.338,-1.897,1.039,0.091,0.207,0.271,0.113,0.314,-0.066,0.060,1.420,0.371,0.147,-0.135,0.020,0.291,0.115,-0.033,0.055
1996.787,0.029,1.293,0.071,0.074,0.956,1.641,1.680,3.357,1.256,0.756,0.143,1.995,0.484,0.579,0.282,0.530,0.336,0.346,0.069,-0.050,-0.100,-0.282,-0.131,-0.042,0.052,-0.222,-1.015,-0.057,0.103,0.162,0.050,0.257,-0.184,0.325,-0.166,0.390,0.302,-0.142,0.510,-0.071,-0.014,1.278,0.403,0.276,-0.060,-0.083,0.179,0.123,-0.065,0.047
1997.038,-0.059,1.275,-0.198,0.213,1.041,2.167,0.620,2.020,1.621,0.259,0.145,2.728,0.394,0.539,0.147,0.509,0.089,0.590,0.199,-0.078,-0.140,-0.250,-0.130,-0.196,-0.169,-0.097,0.137,-0.085,0.330,0.385,2.001,0.163,2.306,0.443,-0.456,0.711,0.384,0.069,0.655,-0.139,-0.096,1.257,0.405,0.469,-0.087,-0.125,0.506,0.095,-0.089,0.021
1997.285,0.055,2.202,-0.019,0.187,0.861,2.019,0.265,2.681,2.422,0.574,0.214,2.150,-0.046,0.402,-0.013,0.389,0.242,0.388,0.463,0.013,-0.039,-0.211,-0.097,-0.003,0.042,0.001,-0.224,-0.282,0.282,0.130,-0.050,0.581,2.032,0.412,-0.274,1.087,0.542,-0.358,0.194,-0.087,-0.008,1.207,0.271,0.441,0.004,-0.033,0.340,0.160,-0.055,0.072
1997.534,0.146,2.261,-0.024,0.395,0.718,1.685,0.629,2.768,2.476,-0.014,0.197,2.131,-0.123,0.573,-0.011,0.353,0.081,0.531,0.466,0.012,-0.098,-0.426,-0.182,-0.013,0.121,0.055,-0.029,-0.093,0.324,0.341,1.770,0.045,0.126,0.347,-0.236,0.996,0.527,0.152,-0.977,0.003,0.075,1.053,0.274,0.518,-0.005,-0.096,0.508,0.183,-0.039,0.091
